Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,SMCI,"Super Micro Computer, Inc.",100,低,"Super Micro Computer, Inc.",39.16,25.3,45.63,69.8,2.02,31.16,30.96,1.1862,42.31,中,基底+40 · CB+18 · PullbackQ+13 · VS+12 · RS+12 · TC+3 · Bonus+5,從20日高點回檔7.4%；站上EMA20(+25.7%)；1M報酬45.6%；超額報酬vs SPY:+42.6%；SPY:+3.1%&QQQ:N/A；RSI70；MACD金叉多頭；站上SMA200,18,13,12,12,3,5,待 Grok 評分,待 Grok 評分
2,2,NWS,News Corporation,94,低,News Corporation,32.93,17.8,5.71,58.1,1.94,32.01,30.72,0.0468,35.31,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+6 · TC+10 · Bonus+5,從20日高點回檔6.7%；站上EMA20(+2.9%)；1M報酬5.7%；超額報酬vs SPY:+2.7%；SPY:+3.1%&QQQ:N/A；RSI58；MACD金叉多頭；站上SMA200,12,13,8,6,10,5,待 Grok 評分,待 Grok 評分
3,3,TRMB,Trimble Inc.,93,低,Trimble Inc.,57.54,13.4,10.82,55.6,1.64,56.5,53.49,-0.0258,62.0,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+9 · TC+6 · Bonus+5,從20日高點回檔7.2%；站上EMA20(+1.8%)；1M報酬10.8%；超額報酬vs SPY:+7.8%；SPY:+3.1%&QQQ:N/A；RSI56；MACD多頭,12,13,8,9,6,5,待 Grok 評分,待 Grok 評分
4,4,HPQ,HP Inc.,92,低,HP Inc.,31.3,28.6,31.79,70.9,1.54,27.8,25.31,0.2453,32.19,高,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔2.8%；站上EMA20(+12.6%)；1M報酬31.8%；超額報酬vs SPY:+28.7%；SPY:+3.1%&QQQ:N/A；RSI71；MACD金叉多頭；站上SMA200,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
5,5,VEEV,Veeva Systems Inc.,92,低,Veeva Systems Inc.,252.64,41.0,30.45,82.6,1.52,215.18,188.75,4.0483,253.35,中,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔0.3%；站上EMA20(+17.4%)；1M報酬30.4%；超額報酬vs SPY:+27.4%；SPY:+3.1%&QQQ:N/A；RSI83；MACD金叉多頭；站上SMA200,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
6,6,KKR,KKR & Co. Inc.,92,低,KKR & Co. Inc.,115.3,103.5,14.43,71.7,1.51,104.14,98.09,1.0773,116.57,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔1.1%；站上EMA20(+10.7%)；1M報酬14.4%；超額報酬vs SPY:+11.4%；SPY:+3.1%&QQQ:N/A；RSI72；MACD金叉多頭；站上SMA200,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
7,7,FDX,聯邦快遞,92,低,FedEx Corporation,339.35,80.3,8.27,68.8,1.58,318.66,319.23,2.8393,340.25,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+3 · Bonus+5,從20日高點回檔0.3%；站上EMA20(+6.5%)；1M報酬8.3%；超額報酬vs SPY:+5.2%；SPY:+3.1%&QQQ:N/A；RSI69；MACD金叉多頭；站上SMA200,12,15,8,9,3,5,待 Grok 評分,待 Grok 評分
8,8,WDAY,Workday,91,低,"Workday, Inc.",206.45,51.0,45.57,75.2,3.21,166.27,144.16,3.1674,227.49,高,基底+40 · CB+12 · PullbackQ+10 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔9.2%；站上EMA20(+24.2%)；1M報酬45.6%；超額報酬vs SPY:+42.5%；SPY:+3.1%&QQQ:N/A；RSI75；MACD金叉多頭；站上SMA200,12,10,12,12,0,5,待 Grok 評分,待 Grok 評分
9,9,HPE,Hewlett Packard Enterprise Comp,90,低,Hewlett Packard Enterprise Comp,59.82,79.2,26.23,73.8,1.59,51.6,48.42,1.0126,63.44,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔5.7%；站上EMA20(+15.9%)；1M報酬26.2%；超額報酬vs SPY:+23.2%；SPY:+3.1%&QQQ:N/A；RSI74；MACD金叉多頭；站上SMA200,12,13,8,12,0,5,待 Grok 評分,待 Grok 評分
10,10,DELL,Dell Technologies Inc.,87,低,Dell Technologies Inc.,494.51,319.5,20.03,62.6,1.33,440.8,420.31,5.5354,514.0,低,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔3.8%；站上EMA20(+12.2%)；1M報酬20.0%；超額報酬vs SPY:+17.0%；SPY:+3.1%&QQQ:N/A；RSI63；MACD金叉多頭；站上SMA200,8,13,4,12,10,0,待 Grok 評分,待 Grok 評分
